model,accuracy,precision,recall,f1,roc_auc
cnn,0.8969072164948454,0.865546218487395,0.9626168224299065,0.911504424778761,0.9792673756579655
custom_svm,0.6804123711340206,0.6717557251908397,0.822429906542056,0.7394957983193278,0.7040498442367601
svm,0.6855670103092784,0.6949152542372882,0.7663551401869159,0.7288888888888889,0.7266086582876786
random_forest,0.6855670103092784,0.7017543859649122,0.7476635514018691,0.7239819004524887,0.7488989150284672
